"reason"	"schemaname"	"tablename"	"indexname"	"index_scan_pct"	"scans_per_write"	"index_size"	"table_size"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_release_channel"	0.00	0.00	"136 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20120910"	"reports_clean_20120910_hang_id"	0.00	0.00	"135 MB"	"652 MB"
"Never Used Indexes"	"public"	"reports_clean_20130617"	"reports_clean_20130617_arch_cores"	0.00	0.00	"135 MB"	"634 MB"
"Never Used Indexes"	"public"	"reports_clean_20130805"	"reports_clean_20130805_sig_prod_date"	0.00	0.00	"135 MB"	"627 MB"
"Never Used Indexes"	"public"	"reports_clean_20120312"	"reports_clean_20120312_sig_prod_date"	0.00	0.00	"135 MB"	"398 MB"
"Never Used Indexes"	"public"	"reports_clean_20121217"	"reports_clean_20121217_sig_prod_date"	0.00	0.00	"135 MB"	"563 MB"
"Never Used Indexes"	"public"	"reports_clean_20121119"	"reports_clean_20121119_sig_prod_date"	0.00	0.00	"135 MB"	"602 MB"
"Never Used Indexes"	"public"	"reports_clean_20111107"	"reports_clean_20111107_product_version_id"	0.00	0.00	"134 MB"	"985 MB"
"Never Used Indexes"	"public"	"reports_clean_20120116"	"reports_clean_20120116_hang_id"	0.00	0.00	"134 MB"	"756 MB"
"Never Used Indexes"	"public"	"reports_clean_20130617"	"reports_clean_20130617_sig_prod_date"	0.00	0.00	"133 MB"	"634 MB"
"Never Used Indexes"	"public"	"reports_clean_20120130"	"reports_clean_20120130_hang_id"	0.00	0.00	"133 MB"	"695 MB"
"Never Used Indexes"	"public"	"reports_clean_20120409"	"reports_clean_20120409_sig_prod_date"	0.00	0.00	"133 MB"	"756 MB"
"Never Used Indexes"	"public"	"reports_clean_20130311"	"reports_clean_20130311_product_version_id"	0.00	0.00	"132 MB"	"884 MB"
"Never Used Indexes"	"public"	"reports_clean_20121008"	"reports_clean_20121008_hang_id"	0.00	0.00	"132 MB"	"623 MB"
"Never Used Indexes"	"public"	"reports_clean_20121203"	"reports_clean_20121203_sig_prod_date"	0.00	0.00	"132 MB"	"568 MB"
"Never Used Indexes"	"public"	"reports_clean_20120123"	"reports_clean_20120123_sig_prod_date"	0.00	0.00	"131 MB"	"750 MB"
"Never Used Indexes"	"public"	"reports_clean_20130408"	"reports_clean_20130408_product_version_id"	0.00	0.00	"131 MB"	"876 MB"
"Never Used Indexes"	"public"	"reports_clean_20120827"	"reports_clean_20120827_sig_prod_date"	0.00	0.00	"131 MB"	"594 MB"
"Never Used Indexes"	"public"	"reports_clean_20111031"	"reports_clean_20111031_hang_id"	0.00	0.00	"130 MB"	"655 MB"
"Never Used Indexes"	"public"	"reports_clean_20131125"	"reports_clean_20131125_sig_prod_date"	0.00	0.00	"130 MB"	"636 MB"
"Never Used Indexes"	"public"	"reports_clean_20120109"	"reports_clean_20120109_release_channel"	0.00	0.00	"130 MB"	"722 MB"
"Never Used Indexes"	"public"	"reports_clean_20120102"	"reports_clean_20120102_sig_prod_date"	0.00	0.00	"129 MB"	"784 MB"
"Never Used Indexes"	"public"	"reports_clean_20120507"	"reports_clean_20120507_hang_id"	0.00	0.00	"129 MB"	"687 MB"
"Never Used Indexes"	"public"	"reports_clean_20120402"	"reports_clean_20120402_sig_prod_date"	0.00	0.00	"129 MB"	"740 MB"
"Never Used Indexes"	"public"	"reports_clean_20120604"	"reports_clean_20120604_product_version_id"	0.00	0.00	"129 MB"	"757 MB"
"Never Used Indexes"	"public"	"reports_clean_20120130"	"reports_clean_20120130_sig_prod_date"	0.00	0.00	"128 MB"	"695 MB"
"Never Used Indexes"	"public"	"reports_clean_20111226"	"reports_clean_20111226_product_version_id"	0.00	0.00	"128 MB"	"630 MB"
"Never Used Indexes"	"public"	"reports_clean_20120813"	"reports_clean_20120813_sig_prod_date"	0.00	0.00	"128 MB"	"576 MB"
"Never Used Indexes"	"public"	"reports_20140929"	"reports_20140929_url"	0.00	0.00	"128 MB"	"1115 MB"
"Never Used Indexes"	"public"	"reports_clean_20121015"	"reports_clean_20121015_hang_id"	0.00	0.00	"128 MB"	"648 MB"
"Never Used Indexes"	"public"	"reports_clean_20130304"	"reports_clean_20130304_hang_id"	0.00	0.00	"127 MB"	"679 MB"
"Never Used Indexes"	"public"	"reports_clean_20120820"	"reports_clean_20120820_sig_prod_date"	0.00	0.00	"127 MB"	"576 MB"
"Never Used Indexes"	"public"	"reports_clean_20130204"	"reports_clean_20130204_hang_id"	0.00	0.00	"127 MB"	"725 MB"
"Never Used Indexes"	"public"	"reports_clean_20130225"	"reports_clean_20130225_hang_id"	0.00	0.00	"127 MB"	"739 MB"
"Never Used Indexes"	"public"	"reports_clean_20120806"	"reports_clean_20120806_product_version_id"	0.00	0.00	"126 MB"	"762 MB"
"Never Used Indexes"	"public"	"reports_clean_20120312"	"reports_clean_20120312_product_version_id"	0.00	0.00	"126 MB"	"398 MB"
"Never Used Indexes"	"public"	"reports_clean_20120507"	"reports_clean_20120507_sig_prod_date"	0.00	0.00	"126 MB"	"687 MB"
"Never Used Indexes"	"public"	"reports_20131125"	"reports_20131125_product_version"	0.00	0.00	"126 MB"	"2667 MB"
"Never Used Indexes"	"public"	"reports_clean_20130805"	"reports_clean_20130805_hang_id"	0.00	0.00	"126 MB"	"627 MB"
"Never Used Indexes"	"public"	"reports_clean_20121126"	"reports_clean_20121126_sig_prod_date"	0.00	0.00	"126 MB"	"562 MB"
"Never Used Indexes"	"public"	"reports_clean_20130415"	"reports_clean_20130415_sig_prod_date"	0.00	0.00	"126 MB"	"531 MB"
"Never Used Indexes"	"public"	"reports_clean_20130422"	"reports_clean_20130422_sig_prod_date"	0.00	0.00	"125 MB"	"544 MB"
"Never Used Indexes"	"public"	"reports_20140623"	"reports_20140623_reason"	0.00	0.00	"124 MB"	"2209 MB"
"Never Used Indexes"	"public"	"reports_clean_20120109"	"reports_clean_20120109_domain_id"	0.00	0.00	"124 MB"	"722 MB"
"Never Used Indexes"	"public"	"reports_clean_20120109"	"reports_clean_20120109_sig_prod_date"	0.00	0.00	"124 MB"	"722 MB"
"Never Used Indexes"	"public"	"reports_20140908"	"reports_20140908_reason"	0.00	0.00	"123 MB"	"2225 MB"
"Never Used Indexes"	"public"	"reports_clean_20130513"	"reports_clean_20130513_sig_prod_date"	0.00	0.00	"123 MB"	"521 MB"
"Never Used Indexes"	"public"	"reports_clean_20130429"	"reports_clean_20130429_sig_prod_date"	0.00	0.00	"123 MB"	"530 MB"
"Never Used Indexes"	"public"	"reports_20140210"	"reports_20140210_reason"	0.00	0.00	"123 MB"	"2157 MB"
"Never Used Indexes"	"public"	"reports_clean_20130617"	"reports_clean_20130617_hang_id"	0.00	0.00	"123 MB"	"634 MB"
"Never Used Indexes"	"public"	"reports_20131104"	"reports_20131104_reason"	0.00	0.00	"122 MB"	"2236 MB"
"Never Used Indexes"	"public"	"reports_20140203"	"reports_20140203_reason"	0.00	0.00	"122 MB"	"2153 MB"
"Never Used Indexes"	"public"	"reports_clean_20120903"	"reports_clean_20120903_hang_id"	0.00	0.00	"122 MB"	"618 MB"
"Never Used Indexes"	"public"	"reports_clean_20130527"	"reports_clean_20130527_sig_prod_date"	0.00	0.00	"122 MB"	"558 MB"
"Never Used Indexes"	"public"	"reports_20140217"	"reports_20140217_reason"	0.00	0.00	"122 MB"	"2143 MB"
"Never Used Indexes"	"public"	"reports_clean_20130107"	"reports_clean_20130107_hang_id"	0.00	0.00	"121 MB"	"682 MB"
"Never Used Indexes"	"public"	"reports_clean_20140908"	"reports_clean_20140908_sig_prod_date"	0.00	0.00	"121 MB"	"616 MB"
"Never Used Indexes"	"public"	"reports_clean_20120709"	"reports_clean_20120709_product_version_id"	0.00	0.00	"121 MB"	"680 MB"
"Never Used Indexes"	"public"	"reports_20131118"	"reports_20131118_reason"	0.00	0.00	"120 MB"	"2180 MB"
"Never Used Indexes"	"public"	"reports_20131111"	"reports_20131111_reason"	0.00	0.00	"120 MB"	"2220 MB"
"Never Used Indexes"	"public"	"reports_clean_20120827"	"reports_clean_20120827_hang_id"	0.00	0.00	"120 MB"	"594 MB"
"Never Used Indexes"	"public"	"reports_clean_20130506"	"reports_clean_20130506_sig_prod_date"	0.00	0.00	"119 MB"	"517 MB"
"Never Used Indexes"	"public"	"reports_clean_20130304"	"reports_clean_20130304_domain_id"	0.00	0.00	"119 MB"	"679 MB"
"Never Used Indexes"	"public"	"reports_clean_20121231"	"reports_clean_20121231_sig_prod_date"	0.00	0.00	"119 MB"	"529 MB"
"Never Used Indexes"	"public"	"reports_clean_20130325"	"reports_clean_20130325_hang_id"	0.00	0.00	"119 MB"	"595 MB"
"Never Used Indexes"	"public"	"reports_clean_20120206"	"reports_clean_20120206_sig_prod_date"	0.00	0.00	"118 MB"	"672 MB"
"Never Used Indexes"	"public"	"reports_clean_20130304"	"reports_clean_20130304_release_channel"	0.00	0.00	"118 MB"	"679 MB"
"Never Used Indexes"	"public"	"reports_clean_20120206"	"reports_clean_20120206_hang_id"	0.00	0.00	"118 MB"	"672 MB"
"Never Used Indexes"	"public"	"reports_clean_20130304"	"reports_clean_20130304_signature_id"	0.00	0.00	"118 MB"	"679 MB"
"Never Used Indexes"	"public"	"reports_clean_20121224"	"reports_clean_20121224_sig_prod_date"	0.00	0.00	"118 MB"	"524 MB"
"Never Used Indexes"	"public"	"reports_clean_20121217"	"reports_clean_20121217_hang_id"	0.00	0.00	"118 MB"	"563 MB"
"Never Used Indexes"	"public"	"reports_20140317"	"reports_20140317_reason"	0.00	0.00	"118 MB"	"2105 MB"
"Never Used Indexes"	"public"	"reports_20140630"	"reports_20140630_reason"	0.00	0.00	"118 MB"	"2079 MB"
"Never Used Indexes"	"public"	"reports_clean_20130923"	"reports_clean_20130923_sig_prod_date"	0.00	0.00	"117 MB"	"492 MB"
"Never Used Indexes"	"public"	"reports_20131028"	"reports_20131028_reason"	0.00	0.00	"117 MB"	"2146 MB"
"Never Used Indexes"	"public"	"reports_clean_20120820"	"reports_clean_20120820_hang_id"	0.00	0.00	"117 MB"	"576 MB"
"Never Used Indexes"	"public"	"reports_clean_20140623"	"reports_clean_20140623_sig_prod_date"	0.00	0.00	"117 MB"	"543 MB"
"Never Used Indexes"	"public"	"reports_clean_20140203"	"reports_clean_20140203_sig_prod_date"	0.00	0.00	"117 MB"	"615 MB"
"Never Used Indexes"	"public"	"reports_20140120"	"reports_20140120_reason"	0.00	0.00	"117 MB"	"2109 MB"
"Never Used Indexes"	"public"	"reports_clean_20120813"	"reports_clean_20120813_hang_id"	0.00	0.00	"117 MB"	"576 MB"
